Time,Latitude,Longitude,Course,feet
Tue 04:54:02 PM,43.8484,-63.8911,→ 105°,"37,000"
Tue 04:54:32 PM,43.8269,-63.7834,→ 105°,"37,000"
Tue 04:55:03 PM,43.8041,-63.6692,→ 105°,"37,000"
Tue 04:55:33 PM,43.7824,-63.5611,→ 106°,"37,000"
Tue 04:56:03 PM,43.7606,-63.4528,→ 106°,"37,000"
Tue 04:56:33 PM,43.7385,-63.344,→ 106°,"37,000"
Tue 04:57:03 PM,43.7162,-63.2347,→ 106°,"37,000"
Tue 04:57:34 PM,43.6936,-63.1251,→ 106°,"37,000"
Tue 04:58:08 PM,43.6677,-62.9996,→ 106°,"37,000"
Tue 04:58:38 PM,43.6452,-62.8913,→ 106°,"37,000"
Tue 04:59:08 PM,43.6226,-62.7827,→ 106°,"37,000"
Tue 04:59:38 PM,43.6,-62.6753,→ 106°,"37,000"
Tue 05:00:08 PM,43.577,-62.5668,→ 106°,"37,000"
Tue 05:00:38 PM,43.5537,-62.4567,→ 106°,"37,000"
Tue 05:01:08 PM,43.5311,-62.3505,→ 106°,"37,000"
Tue 05:01:38 PM,43.5081,-62.243,→ 106°,"37,000"
Tue 05:02:08 PM,43.4845,-62.1342,→ 107°,"37,000"
Tue 05:02:40 PM,43.4589,-62.016,→ 107°,"37,000"
Tue 05:03:11 PM,43.4351,-61.9065,→ 107°,"37,000"
Tue 05:03:41 PM,43.4116,-61.7993,→ 107°,"37,000"
Tue 05:04:13 PM,43.3842,-61.6747,→ 107°,"37,000"
Tue 05:04:45 PM,43.3596,-61.5635,→ 107°,"37,000"
Tue 05:05:24 PM,43.3279,-61.4214,→ 107°,"37,000"
Tue 05:05:54 PM,43.3034,-61.3123,→ 107°,"37,000"
Tue 05:06:24 PM,43.2791,-61.2041,→ 107°,"37,000"
Tue 05:06:54 PM,43.2542,-61.0941,→ 107°,"37,000"
Tue 05:07:24 PM,43.2292,-60.9842,→ 107°,"37,000"
Tue 05:07:54 PM,43.2044,-60.8758,→ 108°,"37,000"
Tue 05:08:24 PM,43.1793,-60.7662,→ 108°,"37,000"
Tue 05:08:54 PM,43.1541,-60.6569,→ 108°,"37,000"
Tue 05:09:24 PM,43.1291,-60.5493,→ 108°,"37,000"
Tue 05:09:54 PM,43.1034,-60.439,→ 108°,"37,000"
Tue 05:10:24 PM,43.0781,-60.3309,→ 108°,"37,000"
Tue 05:10:54 PM,43.0528,-60.2232,→ 107°,"37,000"
Tue 05:11:24 PM,43.0322,-60.117,→ 101°,"37,000"
Tue 05:12:00 PM,43.0159,-59.982,→ 98°,"37,000"
Tue 05:12:45 PM,43.0091,-59.8151,→ 92°,"37,000"
Tue 05:13:26 PM,43.0141,-59.6646,→ 87°,"37,000"
Tue 05:14:26 PM,43,-59.4333,→ 87°,"37,000"
Tue 05:15:25 PM,43.0167,-59.2167,→ 84°,"37,000"
Tue 05:16:25 PM,43.0167,-59,→ 90°,"37,000"
Tue 05:17:25 PM,43.0167,-58.7667,→ 90°,"37,000"
Tue 05:18:25 PM,43.0333,-58.5667,→ 83°,"37,000"
Tue 05:19:26 PM,43.05,-58.3333,→ 84°,"37,000"
Tue 05:20:25 PM,43.05,-58.1,→ 90°,"37,000"
Tue 05:21:25 PM,43.05,-57.8833,→ 90°,"37,000"
Tue 05:22:25 PM,43.05,-57.6667,→ 90°,"37,000"
Tue 05:24:26 PM,43.05,-57.2167,→ 90°,"37,000"
Tue 05:25:26 PM,43.05,-57.0167,→ 90°,"37,000"
Tue 05:26:25 PM,43.0667,-56.7833,→ 84°,"37,000"
Tue 05:28:24 PM,43.0788,-56.3842,→ 87°,
Tue 05:35:23 PM,43.11,-54.9775,→ 90°,
Tue 05:37:17 PM,43.1092,-54.5946,→ 90°,
Tue 05:38:24 PM,43.1081,-54.3696,→ 90°,
Tue 05:40:24 PM,43.1051,-53.9666,→ 90°,
Tue 05:42:20 PM,43.1009,-53.577,→ 91°,
Tue 05:43:23 PM,43.098,-53.3655,→ 91°,
Tue 05:45:25 PM,43.0914,-52.9559,→ 91°,
Tue 05:46:25 PM,43.0876,-52.7546,→ 91°,
Tue 05:48:24 PM,43.079,-52.3552,→ 92°,
Tue 05:49:24 PM,43.0741,-52.1539,→ 92°,
Tue 05:50:24 PM,43.0689,-51.9526,→ 92°,
Tue 05:52:25 PM,43.0573,-51.5468,→ 92°,
Tue 05:54:07 PM,43.0465,-51.2049,→ 92°,
Tue 05:55:17 PM,43.0384,-50.9703,→ 93°,
Tue 05:56:21 PM,43.0306,-50.7558,→ 93°,
Tue 05:57:24 PM,43.0226,-50.5448,→ 93°,
Tue 05:59:23 PM,43.0063,-50.1463,→ 93°,
Tue 06:00:25 PM,43.0027,-49.9388,→ 87°,
Tue 06:02:18 PM,43.0183,-49.5605,→ 87°,
Tue 06:02:34 PM,43.0333,-49.25,→ 87°,"37,000"
Tue 06:04:17 PM,43.0496,-48.7812,→ 87°,"37,000"
Tue 06:05:20 PM,43.0564,-48.5656,→ 88°,"37,000"
Tue 06:06:23 PM,43.0629,-48.3499,→ 88°,"37,000"
Tue 06:07:23 PM,43.0686,-48.1444,→ 88°,"37,000"
Tue 06:09:22 PM,43.0789,-47.7368,→ 88°,"37,000"
Tue 06:10:24 PM,43.0837,-47.5244,→ 88°,"37,000"
Tue 06:12:21 PM,43.0917,-47.1234,→ 89°,"37,000"
Tue 06:13:21 PM,43.0953,-46.9177,→ 89°,"37,000"
Tue 06:15:19 PM,43.1012,-46.5132,→ 89°,"37,000"
Tue 06:16:25 PM,43.1038,-46.2869,→ 89°,"37,000"
Tue 06:18:19 PM,43.1074,-45.8961,→ 89°,"37,000"
Tue 06:20:19 PM,43.1098,-45.4845,→ 90°,"37,000"
Tue 06:22:23 PM,43.1106,-45.0593,→ 90°,"37,000"
