Time,Latitude,Longitude,Course,feet
Thu 03:09:16 PM,55.6,-66.0833,↗ 42°,"33,000"
Thu 03:09:55 PM,55.6833,-66.0167,↗ 24°,"33,000"
Thu 03:11:49 PM,55.8667,-65.8167,↗ 31°,"33,000"
Thu 03:13:16 PM,56.0167,-65.4,↗ 57°,"33,000"
Thu 03:14:54 PM,56.2,-65.1833,↗ 33°,"33,000"
Thu 03:16:17 PM,56.3333,-64.9,↗ 50°,"33,000"
Thu 03:17:17 PM,56.4333,-64.7167,↗ 45°,"33,000"
Thu 03:18:17 PM,56.55,-64.5667,↗ 35°,"33,000"
Thu 03:19:16 PM,56.6333,-64.3833,↗ 50°,"33,000"
Thu 03:20:16 PM,56.7333,-64.2333,↗ 39°,"33,000"
Thu 03:21:17 PM,56.8333,-64.05,↗ 45°,"33,000"
Thu 03:21:55 PM,56.9,-64,↗ 22°,"33,000"
Thu 03:23:17 PM,57.0333,-63.7,↗ 51°,"33,000"
Thu 03:24:17 PM,57.15,-63.5167,↗ 40°,"33,000"
Thu 03:24:54 PM,57.2,-63.4667,↗ 28°,"33,000"
Thu 03:25:55 PM,57.3,-63.2833,↗ 45°,"33,000"
Thu 03:26:55 PM,57.4,-63.1167,↗ 42°,"33,000"
Thu 03:27:55 PM,57.5167,-62.9333,↗ 40°,"33,000"
Thu 03:28:54 PM,57.6167,-62.75,↗ 44°,"33,000"
Thu 03:29:54 PM,57.7167,-62.5667,↗ 44°,"33,000"
Thu 03:30:54 PM,57.8167,-62.3833,↗ 44°,"33,000"
Thu 03:31:55 PM,57.9167,-62.2,↗ 44°,"33,000"
Thu 03:33:17 PM,58.05,-61.8833,↗ 51°,"33,000"
Thu 03:33:55 PM,58.1167,-61.8167,↗ 28°,"33,000"
Thu 03:35:17 PM,58.2333,-61.4833,↗ 56°,"33,000"
Thu 03:36:17 PM,58.35,-61.2667,↗ 44°,"33,000"
Thu 03:37:17 PM,58.45,-61.1,↗ 41°,"33,000"
Thu 03:38:55 PM,58.6333,-60.8,↗ 40°,"33,000"
Thu 03:39:55 PM,58.7333,-60.6,↗ 46°,"33,000"
Thu 03:40:54 PM,58.8333,-60.3833,↗ 48°,"33,000"
Thu 03:41:49 PM,58.9333,-60.3167,↑ 19°,"33,000"
Thu 03:42:49 PM,59.0333,-60.0833,↗ 50°,"33,000"
Thu 03:43:50 PM,59.1333,-59.9,↗ 43°,"33,000"
Thu 03:44:49 PM,59.2333,-59.6667,↗ 50°,"33,000"
Thu 03:45:55 PM,59.3333,-59.3167,↗ 61°,"33,000"
Thu 03:47:41 PM,59.5079,-58.9632,↗ 46°,
Thu 03:54:36 PM,60.1767,-57.5336,↗ 48°,
Thu 03:55:40 PM,60.2766,-57.3047,↗ 49°,
Thu 03:57:41 PM,60.4644,-56.8681,↗ 49°,
Thu 03:59:40 PM,60.6476,-56.4338,↗ 49°,
Thu 04:00:42 PM,60.7425,-56.2056,↗ 50°,
Thu 04:02:34 PM,60.913,-55.7899,↗ 50°,
Thu 04:03:41 PM,61.0144,-55.5391,↗ 50°,
Thu 04:05:36 PM,61.1873,-55.1048,↗ 50°,
Thu 04:06:42 PM,61.2859,-54.8535,↗ 51°,
Thu 04:08:25 PM,61.4391,-54.4586,↗ 51°,
Thu 04:09:41 PM,61.5516,-54.1649,↗ 51°,
Thu 04:11:42 PM,61.7293,-53.6929,↗ 51°,
Thu 04:12:55 PM,61.9535,-53.0868,↗ 51°,"33,000"
Thu 04:14:37 PM,62.1002,-52.6786,↗ 52°,
Thu 04:15:14 PM,62.1676,-52.4885,↗ 53°,"33,000"
Thu 04:15:51 PM,62.2218,-52.3345,↗ 53°,"33,000"
Thu 04:16:22 PM,62.269,-52.1993,↗ 53°,"33,000"
Thu 04:17:21 PM,62.36,-51.9371,↗ 53°,"33,000"
Thu 04:17:51 PM,62.4057,-51.8041,↗ 54°,"33,000"
Thu 04:18:22 PM,62.4509,-51.672,↗ 54°,"33,000"
Thu 04:18:52 PM,62.4961,-51.5385,↗ 54°,"33,000"
Thu 04:19:22 PM,62.5409,-51.4058,↗ 54°,"33,000"
Thu 04:19:52 PM,62.586,-51.2716,↗ 54°,"33,000"
Thu 04:20:22 PM,62.6305,-51.1382,↗ 54°,"33,000"
Thu 04:20:52 PM,62.6751,-51.0038,↗ 54°,"33,000"
Thu 04:21:22 PM,62.719,-50.8707,↗ 54°,"33,000"
Thu 04:21:52 PM,62.7635,-50.7349,↗ 55°,"33,000"
Thu 04:22:22 PM,62.8079,-50.599,↗ 55°,"33,000"
Thu 04:22:52 PM,62.8523,-50.4617,↗ 55°,"33,000"
