Location,Airport,IATA,ICAO
Nouakchott,Nouakchott–Oumtounsy International Airport,NKC,GQNN
Nouadhibou,Nouadhibou International Airport,NDB,GQPP
Atar,Atar International Airport,ATR,GQPA
Niamey,Diori Hamani International Airport,NIM,DRRN
Abuja,Nnamdi Azikiwe International Airport,ABV,DNAA
Calabar,Margaret Ekpo International Airport,CBQ,DNCA
"Asaba, Delta",Asaba International Airport,ABB,DNAS
Kano,Mallam Aminu Kano International Airport,KAN,DNKN
Lagos,Murtala Muhammed International Airport,LOS,DNMM
Port Harcourt,Port Harcourt International Airport,PHC,DNPO
Enugu,Akanu Ibiam International Airport,ENU,DNEN
Sokoto,Sadiq Abubakar III International Airport,SKO,DNSO
Saint Helena,Saint Helena Airport,HLE,FHSH
Dakar,Blaise Diagne International Airport,DSS,GOBD
Freetown,Lungi International Airport,FNA,GFLL
Lomé,Lomé–Tokoin International Airport,LFW,DXXX
Luanda,Quatro de Fevereiro Airport,LAD,FNLU
Lubango,Lubango Airport,SDD,FNUB
Douala,Douala International Airport,DLA,FKKD
Yaoundé,Yaoundé Nsimalen International Airport,NSI,FKYS
Bangui,Bangui M'Poko International Airport,BGF,FEFF
N'Djamena,N'Djamena International Airport,NDJ,FTTJ
Goma,Goma International Airport,GOM,FZNA
Kinshasa,N'djili Airport,FIH,FZAA
Kisangani,Kisangani Bangoka International Airport,FKI,FZIC
Lubumbashi,Lubumbashi International Airport,FBM,FZQA
Malabo,Malabo International Airport,SSG,FGSL
Franceville,M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,FOON
Libreville,Léon-Mba International Airport,LBV,FOOL
Port-Gentil,Port-Gentil International Airport,POG,FOOG
Brazzaville,Maya-Maya Airport,BZV,FCBB
Pointe-Noire,Agostinho-Neto International Airport,PNR,FCPP
São Tomé,São Tomé International Airport,TMS,FPST
Gaborone,Sir Seretse Khama International Airport,GBE,FBSK
Maun,Maun Airport,MUB,FBMN
Francistown,Francistown International Airport,FRW,FBFT
Kasane,Kasane Airport,BBK,FBKE
Manzini,King Mswati III International Airport,SHO,FDSK
Maseru,Moshoeshoe I International Airport,MSU,FXMM
Windhoek,Hosea Kutako International Airport,WDH,FYWH
